,max_rank,min_rank
1536991449,1018428,46929
0141376678,3458149,123359
0718189299,265983,32620
1944430407,3894023,105626
B00JW4BRX4,599345,75071
B079RKDS4M,723003,69632
1943003068,1131359,14538
B06XK497Y6,35525,1789
0190631058,945316,50144
B07DFFQCSH,228882,10041
1621365328,1032721,51231
B072MFDXY2,590544,14713
B01MDP7ECW,1871890,114138
B00VDHFS56,1148636,53645
B079Z2NGLY,396123,6090
1594774358,535521,21135
B014M2PFEC,523717,32888
1292183403,3350402,105548
B01LZ46U3C,284901,7626
B06XKLD1KP,173248,2619
1743218710,61086,4267
1250138469,301337,37
B0758WRD3H,2229340,125049
1617739294,695021,21574
B06XPQV549,587991,38704
B00H221JXG,468454,31582
B00C7T2DJI,974534,63338
1501145886,1892368,58865
B004J4XGN6,30617,137
B01E30E8A0,1002965,160512
B07BNPH6KR,567090,49559
B00SNNZN5I,261018,9421
B079L4X17W,65548,5299
0596007124,42574,2132
B07CV3QXZ3,301556,19286
1496177312,1165163,54366
0393292630,289607,828
1250062187,5248,160
B01A9EN936,617256,6304
0609809326,850785,44082
1464207445,1232601,29519
B00A22IE22,516678,16119
B017G7HUPW,1052536,12033
0143110136,720919,40484
B00MLN4JEC,2453793,1825070
B01MRA4MAR,2419217,88788
B004XE0MLQ,846597,78261
140271453X,890069,13282
B07799X89B,622764,15980
B077XLK1R8,274820,31
0521755840,751319,80660
0812992857,564423,43713
0385485514,127253,9788
B079Q7J35R,2322743,129998
B07169ZJFQ,737639,52502
1484939352,5649434,3943735
B07878KG74,343502,8473
1501158104,10437,1017
B012GZXWAG,3046517,196851
1449321062,958491,51857
0375507256,27454,1833
B075TB852L,510372,25745
1610393732,1235068,48457
0684824140,356639,19719
1591844118,208201,17325
1118273044,292785,13501
B004RCLW2C,1248685,67917
B078GVXX7T,287166,329
1771960787,4676295,137044
B009JGYP3E,247912,2938
B00FRD9K92,2538016,168350
B005AJQJJ2,1251754,105584
B076ZVF5HD,1030169,47079
B079Y3BG7Y,2793351,148860
0571318053,2698621,105351
B07BH66T83,864130,81601
0575132523,2021450,58693
B01GFEPDX8,699387,105713
0764340409,2067459,67127
1613431201,2621371,41729
0809327643,2061785,115244
B0733N7NXP,1025252,154
B00THLD5BE,3498104,2553809
012803064X,1097605,6244
B019R5S12W,724353,82497
1501177729,630814,15845
0316392235,88628,334
0300204825,1067155,100731
B007RH5XII,856683,62818
B013QCN3I4,1295396,57585
B07BKQJ5HC,92258,1666
1934730408,2430707,29671
B019L437C8,201281,13634
1853260398,1361833,8420
1620073951,7605636,5225688
1508879257,2527311,134383
B00BIU1Y2O,724527,68033
B007BJMI1W,1742430,109170
B01NCQVIKD,206246,19576
1620355345,4988222,77997
B07C567D4T,352421,1401
B077PY7PM1,473912,34575
B00DY84SZ8,206566,34499
B073NR782W,1153484,64521
0486413683,3055404,114138
1978380860,2822277,55796
2924526000,10572697,8800468
B004YWJRI6,753707,98049
B01D6HR4CA,1598035,134834
B078K1QZK7,1796770,96785
1455563927,733,20
B0067NO1HW,1939042,165312
B006WB7MXO,835377,70758
0374349053,2087542,183496
1781326592,1064444,37664
B01FJGT3M0,3687252,2864535
B01NBZY4ZT,274610,5574
7111551281,4260183,81386
1423152883,16644,2461
1620075113,3950198,139779
B072V259HM,297919,6836
B00BA2DUVS,829031,42141
B01M01YDQA,9687,2431
1682543005,3542075,280560
B004ZZS4CC,65236,2826
B06XKTSBFX,1590153,85579
1483454908,7880680,5193119
1326217429,14108159,10807764
1909869945,2104980,95396
B00LTBWMVO,529,169
1906210489,4171497,118369
B01I5N3PNW,834828,106560
0195366190,813131,29050
3907857178,14644644,11473614
0778804615,25831,5433
1947578022,2597334,80045
0316187437,135346,8479
3847905546,5055898,308063
1405279931,1114628,56418
B06XGJDPPB,2944593,2579982
B071DCJFK9,2508073,157235
0008248303,4062566,31587
B01EP6LTFE,746198,48504
B071L88ZZG,2745114,112272
B078T4JR2M,124741,6081
1389746771,4381197,145411
1499661010,14989697,11892850
B01M1JHC0U,955632,6557
1629989096,1016485,11380
B079QMRM75,698180,32446
3453532511,15493014,14628222
0802123708,56140,3444
0500516146,1292526,34105
B01JXZ49EK,1099452,1048771
B0138NHB0M,474613,10516
B06XQ5VLJX,2805578,157899
1459740572,2345864,1033134
1619223996,3688732,129043
0995452105,12579862,139668
B01D00F30I,822849,93427
B00K58LPQU,81598,9666
B01ISMU1RI,2960701,2116111
B07CPTHTVZ,426460,29834
1475999569,2166070,125769
B07BDM4PBF,271272,13907
3791349465,1009152,50205
B0159B33Z8,1507609,93650
154997730X,7861741,1102958
B00QD68WFK,1493384,105275
1524759848,171172,2918
B01MYGQAD8,2511194,141619
1682611604,1122419,1063
B017C8NL30,1441359,67237
1521467587,10157709,540551
B0195AUH4Y,609401,64226
0805099247,402744,34564
B0133Z3D48,271521,35
B01GK3KK5A,1908430,1867670
B00KTM7WMI,2203107,189811
B00QFFYH7G,1684469,163072
0894110136,1235404,46357
B01M4RFBS6,1348447,70524
B004V9G1WW,4807035,4100187
B016QR5DFM,628045,40798
B06XTXGJMK,414986,21
B01GBNF91Y,384055,24716
B076HHY1C3,852710,40177
1603811559,3022104,196442
B07DVX193Z,814120,239650
B002KT3JVG,465552,37722
1259534952,150822,2505
1851685057,1640304,86054
B004PLMJ3G,288590,3413
9814398616,1810214,95957
B00NFZTSDC,245419,9945
0061129739,25114,2585
B00BLQROUQ,1792139,72523
0205648959,5003471,163055
1476729093,6364,237
1986772284,697425,12944
B0058Z4NK0,381871,10158
1519587813,5041118,115733
B00G8V7I1Y,2933314,112219
B07CLDNF9B,136592,7999
1426740379,1525173,83222
B00C1OPHNS,583977,72333
B074V95G43,775114,24701
B0073V22SM,642392,44565
B077RKQ4FY,3432195,3346792
0998854638,923658,40602
0062457225,374881,137
0385521359,558282,9416
1101994827,43441,301
B06XP6DY4P,1291061,49455
B078WKL51S,3032,1946
1118923561,3525948,126182
075828134X,1417448,43018
0062082396,823690,44383
B01H4LDI0Q,3215151,2832636
0472035215,2006907,50470
3942179342,8388962,4546710
0141502584,3330674,128214
B01LZWMH8T,79223,209
1849543127,3772619,179767
B06XVGK4WT,46053,1041
354828552X,15875964,13517113
0375840648,505765,22089
0767906284,612766,30275
B00BMVRTP0,1084366,117620
B019NX21WY,2832171,137678
B00KPJ8F4O,1309058,121844
B075DGKB43,2370003,111807
B07C3BMRYX,1946012,116089
1480308463,2700552,72889
B01ACB7I4W,1168633,51933
1520163509,2534426,144298
8499898874,4514171,131638
B00LLJV6XY,2344892,124974
B07BHMY5LT,2807731,2787358
1582881073,4575628,4326481
B016XM1IM2,132270,11580
0709071663,12223062,8425500
1933665599,4619411,146226
1946420018,1140062,16827
3958351069,6342573,6176843
B073N3RLWM,297767,4224
1400031702,10721,1172
3839135788,13661748,10247230
B06W9MYR52,355755,73071
0812998189,277373,4783
0525955054,174127,2032
0316776963,14480,1369
193839819X,870457,30752
B00QGR9NHC,679872,85584
1447259092,7318318,4242846
B071LDZ1WB,708927,67367
0575108533,2764756,191252
0192853783,697434,27861
014312837X,12125,538
1846553288,9790789,6559630
B00LILB7F2,226324,5219
3423209690,3256970,53851
B079JHMSQQ,1965245,79488
1475827393,2868168,80662
1515025764,2200853,125218
1935950037,1010741,36313
B0756KRVLX,1281354,79016
B01LXGJQN1,1280601,107701
B013IHKGLO,777509,112018
0199569401,8934484,6707792
B074R6H7CW,556983,2265
0062381008,46943,3786
B00PMET6JA,2100052,146506
0684857219,4763,1244
B071LMCDRW,136577,183
143030961X,1475028,80541
B014VWRO1K,290060,169
B00F1W0DF4,71755,50
B00KC1DLLM,666063,46885
1683701550,8405836,1270413
B005L9BLZS,1263440,122832
B005YFH5HM,3031292,2178718
1912601117,2457526,66523
B00JW4O9B6,1770650,119358
0199754551,479686,6027
1492928119,2172459,71479
B078QLW2LC,705059,14446
1780576315,3338185,111091
022635542X,4249844,99888
149091935X,11923983,8022332
1626392064,1356939,77487
1495974200,6600553,6425508
1612650058,1345147,50479
B01N0D2O7Q,867863,45811
1933330996,393518,19040
B019OWB6AW,2097637,236183
1555977448,220916,2913
B00XQIDAXC,170588,18865
B009YLKSB2,1390457,141889
B00630JNBS,1955539,117147
B00513HXAQ,215645,27340
0310353688,97921,2383
B01MUDRSND,2228,1
B007VUDNGA,1400336,122239
B0151HYRCS,24972,303
0340544406,2570388,83779
1938679067,3943483,204809
0192755412,4010986,2509280
1682410188,286531,8879
1848856555,1634786,69002
0816689768,619354,15428
1610530314,6859897,259122
1935460803,16097827,13197702
1416596186,424190,4007
B01ECLB8DK,233168,7241
1976050928,1011567,45709
1626549745,2496433,105273
1631491571,776670,13101
1465408568,675387,63160
0465028861,1835723,37486
0982860811,5456639,137337
B014NWMHUG,1319406,117802
B01DPYIDTM,802976,63548
1473609046,1883941,100149
B01MF701J0,412542,14368
B00QZ28AAY,3345782,165930
0062004999,3368676,175711
B07677FP3J,482431,5360
1897476388,773535,43938
B01BL0HKSW,481883,30905
3937248102,12169309,285531
014313163X,408364,15534
3426199602,16589866,14329829
B06XJC824B,1223840,10979
0987186019,355572,9278
B079RZYS1R,5007,823
1250054257,655508,21160
B078H4ZLPT,1008944,10512
1455544671,457247,95737
1682949680,12480811,8763702
0192833987,2534602,94760
0553384260,94085,10219
B01E02Q1LA,3733511,2764373
1629440116,677965,17812
1521144516,7874090,143334
B074PVRDK2,469962,92157
1490402810,13398490,270056
1781846634,6583399,156649
0773538194,2748856,91647
030796163X,559626,33899
0743229967,31713,4701
B072MTM7VC,1479689,19709
0062419714,315520,45409
1501700200,857914,40679
B00LSYG6XM,1404106,113825
B01N4MCN50,129241,443
0393326020,400138,14106
1633570282,4276585,191341
0692794271,2491615,105811
B010BLVTF2,498398,388
B07848WQR7,337386,10901
B00BS030J4,1771065,1190710
B01452HS3K,1131071,130226
1534400591,348196,15181
B00H6PG2RC,1720215,110152
0747595410,3166233,83710
B01HQB33BI,930281,77801
0263927342,9406685,3050124
B01FQQ6EMU,399194,1746
1937986640,869319,27544
0801450160,1224787,123548
3761629664,11241182,11062535
B0747YD28K,3710345,1691782
B00TT5VY48,835405,90844
B07DSMXG1H,310465,11480
B00SG5ROBO,514313,45769
B01EMEVFBW,2930861,2503472
1904881645,3699244,169000
B076ZPDHJ3,1552132,108235
B01M6YV3LV,8684034,225431
0801018773,681699,10662
B00H07NMNS,1865330,116433
1717551017,2099209,98690
0984463062,923368,34854
B01LXKJUNR,296219,109
162989592X,8618695,202115
B00KFEJN4A,1721635,140749
1503072835,2501924,97928
B006G4O65E,1136082,50387
B0054S7AOC,1657232,103227
B01AR9FUKS,371542,38150
B01IMYO9FW,777015,3688
1780232926,2385765,132541
B01FVF0YWM,1390747,93778
3319482831,10395871,3791365
0971646619,458085,14419
B00NVETYPO,1204204,166103
B078R8215G,68036,91
1472206703,2323955,98064
B00IV351R0,27957,6489
1616386061,615613,4102
1909855235,1790497,79696
B075YGNYGP,438262,18730
0143124544,59829,1495
B07891RJFZ,16928,150
B01CTFQI5E,103549,2129
B0166THBB4,1572896,142771
B00O5D6LEM,1561498,136927
B07DKD4ZX9,29252,2137
B07DTZPTQX,492023,69396
B07DQSMD74,156222,7812
B074DVTXLH,1057590,43996
B01DAGRCMY,409544,17424
B01LZU7SWV,299429,13809
162897172X,2308454,264938
1941103405,2008821,69486
B018J7YHI6,560074,54746
0595210228,10057101,6598428
B073WFVNX1,1877100,2296
0199470669,3038656,120385
0826513409,3640147,133335
0804141312,101946,6168
B01N647IBX,1909967,88361
B009YYFBQQ,925636,91071
B076CSVPLZ,572697,115
B0053SGI0K,2261061,133254
1942186347,748084,50554
B00K9O53UO,234572,152
B07B2L1572,1849781,89042
B01E7GZODU,312993,25529
1499763670,6586897,125088
B01BRTXBDA,171627,91
B07BRN9FQL,906595,56050
B07BR81QLS,357892,12437
1492602655,1051297,88541
B071HPYMPX,796900,1152
B079MDVWQF,2038472,114499
0553386395,11203,3231
0766105040,10491403,6901484
1440332967,757715,51023
081331951X,488470,1422
B01N1RR3T7,177527,29576
1442238828,1149901,34775
0062691457,6174254,127703
B01H6XKVRA,1766112,108155
080652720X,1071730,109938
B00DGUPDVC,1485191,165467
0007540035,1614769,78995
1493609076,799860,41938
147673514X,27429,2504
B077H53BF1,829330,73039
3862221121,14127442,13000066
1593271964,422031,20885
1405284862,1566825,106684
1495396827,6158731,132278
B077G9LCNZ,248746,26577
1419707477,253839,11802
B002WTCINE,228891,12394
342650121X,16239851,205841
B01EXKSQG2,1818365,107060
B079Y2W34S,41873,913
1545615039,3517572,100380
0875807011,1131561,82233
B008E4BM8S,2819071,2009873
1250046637,1246344,84789
0008223513,8855973,156002
1613739796,1094460,10352
0141342692,974190,51094
B07CWFRT3P,738920,44005
B07793R8FL,16168,1559
1259837637,57572,334
0078034663,716894,9328
1906610037,8062716,150583
B00P9DG0RA,1612305,45176
B07BWVXD5F,1471,296
B01DKGAFKU,2540567,2224593
B00WPQHU7I,660697,420
B01M4LKX2T,802328,56685
1980343241,1547648,106818
0263245616,6121266,143824
0007258925,7547246,6359551
3407793421,3857842,147472
0670086843,4560745,4405866
0345509005,632378,29402
0060957913,533089,30876
B0159YMB08,1166497,78112
1250003830,580305,3279
B01NAB2FQJ,1847693,125043
B00S4XRJM2,991795,147589
1784770205,1272777,40524
0374273537,22232,5
B07C7HWRYD,994742,17046
9351776425,798728,40567
1843337401,3729937,101073
B008AJR1Y6,2147136,169220
B00ZGTKEJW,410515,20519
1907282041,17101910,222832
0062409212,3125,295
B06XS4256N,547097,2649
B00LG9BGG6,1331511,144958
B01MSDNBW0,223191,3884
1444187104,284128,16284
B01N6TKHS3,1487763,162681
1250013720,443797,21420
1594634106,1872833,84968
B01M00TM7U,764387,39336
1771642017,1271669,39495
1902917235,17059798,14293395
1633570894,2226679,41674
1909178713,5416229,3083090
1855328623,921437,51613
0062090062,876625,41044
3551518742,8620736,6571635
1937187322,2156275,91851
0553379011,196611,11908
1460207017,6870854,115265
1781592861,2525027,105204
1440590109,1043045,47623
1521117705,6790469,154190
B00TWK3U38,870146,51424
B00KK8D65I,421688,28710
1973443791,8619513,3732056
1434440524,9777373,6402234
1434704696,11088,793
1974393364,1036057,89502
1502832631,4864029,114223
B0782QMR19,3251413,205300
1620355442,3045258,54475
2924526272,10759318,4885367
3404609190,9558283,8114324
1440842167,1804752,102974
B076DS4Y49,2357321,109238
B00LEYVFLE,711120,49826
B0798152NT,1001301,22192
B018UAAAW4,80973,9071
0800728092,373783,12296
B01EK7A6RK,585852,3679
B0085W8S68,284998,20786
3442478952,2555182,130891
1509870067,5280152,2377324
0133753816,340145,1141
009956453X,6866443,135272
B00O10FAP0,2788437,190520
0991038800,2898264,1809024
1524763926,1657190,57317
0982692668,573463,8745
B004IWR3R4,468508,46510
B00X805X2O,3814434,2854628
B00QXUN5Y4,22961,99
1976015324,9545878,9180615
B007IPDKOI,1699884,180889
1517056756,3459701,147629
1780043767,739966,21706
B00529AJ6Y,2416524,1721474
3492276040,12723706,9969277
B01IIXMZ0S,1319223,56485
B07BRYQWPL,1778402,109106
B00C6OHRLS,57983,5296
B079445ZHC,2691290,206675
1910565873,3295434,87538
B0176BJYQ6,26459,1146
1629994987,988488,3387
B00WAR38FK,477435,5116
022618319X,938238,56302
B01MXHCMGV,1040940,35920
B01NB97AWM,703728,9904
B077W5V8CY,1438939,92090
B00Y1GUVOO,360593,60458
1473619483,3005309,137261
B01B7RRNB8,60892,260
197410799X,6311729,2782123
1118825438,2329367,2307740
B075RLXBKZ,6049,255
1908211121,1114258,31493
B00MEGM7NQ,235423,55
022657265X,5732974,931618
0998921734,6844924,139164
B01JTQQE64,15783,907
1590201205,641561,41317
1521182833,5761504,222868
0809153599,1221435,6324
B01HJFD4T2,595063,10074
B00QFO2710,2253362,234033
1783297468,412559,9887
B00NVMU590,696687,25022
0310445574,18609,983
B01N4DTBD4,2429261,145833
B01KY78S1Q,1813971,120164
1250079365,118993,4466
194508927X,5617378,135131
3103972318,2948675,191115
B01M1MOZBS,9024,1758
B077MMHLDH,96942,1546
B01H9DSUAW,5129,2
B076B27ZVB,1029009,94741
B075RCS3XX,329636,92
1329623924,10955799,138341
B00KAZZ1VS,376971,234
B0753ZPSDP,641339,54
0312890176,87553,2399
1629991562,827999,8074
B002XXGIJ4,438753,44200
B00OAUXIXC,996961,103121
0989139611,2808035,67783
3430200938,14428380,11203052
1477819681,270185,8999
0814434037,1015795,88760
B0779L6W9S,4077,80
1291856579,20469661,20134540
B004YEMTKM,3163399,2291157
1974610748,2967667,50866
0062503731,62054,4802
B01922I1GG,4362,726
1786814161,1029576,34164
1514411016,10809836,7130026
0312488300,1532998,71723
0205110134,954468,27699
0743477103,18905,120
1400052173,58234,461
0735214468,182742,1388
B01MSVCTH9,228862,1080
B0106CFXSK,865622,59657
B01C70UUX2,260463,126
B07CS6HMHY,177014,18954
B0716H1ZFK,319968,3562
B004E10XBM,3742704,3323648
0465065694,297832,7554
1908211504,852120,13860
006222929X,1682480,82868
0618706410,2716,63
0995566704,6627169,100602
0702044202,2187822,87897
184744542X,1541745,74096
0062420437,589734,10398
B017AOLYLW,693666,55895
B01BME50A2,890404,71346
3423715626,6550053,196438
B01JLQEKJA,1165148,38319
014132452X,930224,18838
1629981893,300015,11661
0446618799,61908,1950
B07791768P,1779126,83384
B00HCLKHQC,438700,43052
B00WVOT1FS,2440450,143810
1908293128,6888545,143158
B072L2YJSL,981851,129568
159030957X,480978,19992
B00ZSCV0HW,164531,3586
1524764566,12446,222
1419728156,233099,12314
1464208425,1981730,68656
1610393384,1003372,51022
0062325418,260319,8695
1626543712,219499,6837
0565094157,775617,29118
3957650097,14836806,13838159
B072WMLKL3,93783,1530
9176372502,2161666,56651
B07BH3W8MD,964638,36354
0751537284,2802777,110229
B00IZK2XHU,960967,87496
4909069038,2825134,66523
1544823207,6796337,198844
B075C9PZFM,711,409
1506307825,420845,2121
1442265531,1648606,45337
B0080MKMTE,592270,24149
B0046ECJ64,1337552,102810
1841848069,1752463,1507040
0142402575,251445,299
B00M3DQPQA,2019152,197623
B01J499OUE,199526,2875
B00724AC9G,780867,146503
B002TJLF86,885470,24736
B0777LH7N4,1743859,80634
B00LD1OOW0,620820,103981
1977977383,2229748,34054
0957471858,7049311,218968
0226823377,318705,3271
0141185104,2325509,97502
B07B3WX5MX,243700,30288
1608092399,4185836,63013
1387108042,3987469,98612
B00XST7UBM,167284,187
B01N9NRGB5,74708,3196
1501143107,100480,1311
B000FC1ITK,15240,4444
0767920813,184894,10410
1634178904,134566,5146
0226152650,2122498,2275
B00TR7ICIE,1043971,70846
0008172021,1879575,24575
B077WVL24K,1212232,73500
161427763X,1618059,61827
B01KKPCAPW,3451350,200664
0735210624,2327,5
1925225542,3958389,143664
B01AJ78F8W,1105132,76987
031612091X,3163,165
B01MSOGUIS,1094285,5784
1546512217,7294508,7111556
B06WWHNSKN,56586,147
1780660200,2051739,91807
1934081531,1693124,30824
B00A68ZP24,1396890,110304
1937538435,367252,32671
0062380001,638855,17138
B013Q706WA,694381,69842
1614310467,3977138,95501
1905177208,4892022,188501
1408335220,3645276,231307
B073KXVDJ8,180108,672
1945745045,8248174,7420734
1633040321,4386168,120804
B077WPVLQX,578722,1555
1785781499,2593129,98270
3846600423,10251449,2842077
022631703X,4433037,138503
1463474334,6394170,273068
1524760919,21524,50
B077Q43YNC,213097,11086
0446572837,258142,2826
1496097017,5831880,100204
B01N7ZGWUT,758410,33838
0718035070,757166,29955
1973468638,2237443,66892
1946773069,917405,50391
3981388801,7551547,5896073
0978588126,4161673,130930
1905575114,3066971,201697
B01684F1S2,212937,4220
B077BLNTFX,362403,2897
1542577926,4709709,1977171
198177453X,3680419,98363
B01DT37C1O,58309,84
B017I77MM6,4437052,3633098
B004PYDGBM,102721,2036
B01D7CP3GI,111561,1730
0262035332,1653696,92699
3833846631,13588020,11114460
1628303891,4316493,86322
151904688X,11513311,4441678
125007584X,457922,685
1501179683,345158,1077
1541025717,2569190,2460041
162414506X,104743,8599
B00U2WOTNA,675837,72120
B06W9NNDTM,675137,41141
B00UDDMYWQ,1405950,106855
145389294X,7217864,150938
B006GD3V42,807194,174068
1718760493,6391424,257568
0316222739,878395,30900
0709069553,12866219,9262643
B014UA70U8,26145,1007
1512130788,3666737,144925
1409168131,5929878,92002
152030062X,84088,6195
1500888575,4748017,4651045
1719532354,1931391,106022
0761148574,29083,2122
B01N1O1C42,1360454,104466
178227037X,1142536,50263
B00CCTUUDY,1414514,157335
147674646X,263890,170
0345518101,8887,1364
B076H7TCB1,454550,5233
1410429539,4382408,106056
1499573219,13828160,348033
0345450310,1054573,41290
B011ARRJTG,103942,7716
B073TSGTST,2076324,82961
0768410800,484887,62159
0062003925,912557,31234
B073PS8G8W,37178,233
1461432197,2238294,84391
1621365492,1014315,31522
144934013X,188579,6996
B01F7SPFE0,309973,22484
B074L68VL3,1607571,54868
B00C5R7EA0,555809,86277
1682614441,1402439,23433
0330509683,999577,34686
B011HIOR7K,1414122,1165944
B00CR1ZSIY,1502383,112776
1501179047,286768,2160
3844829318,2813974,70788
0062204092,30742,265
B076MDXG5N,29917,977
0060742763,7864,456
B0759S5FLJ,235328,22
B00WOXR2GG,707478,83466
1682471500,1016344,39111
B005ERY6UY,643944,50248
1603587373,381702,3511
B01AR4ZK5S,1221892,94041
B000FCJZ36,363759,30317
0810888203,1964960,97951
B01783W2SE,86736,28523
1976783623,1180250,36761
B071FTF1CB,674692,26339
194702602X,2602399,14727
130540193X,636595,15471
162136299X,419312,17873
198040531X,6144171,100452
B00CB1Z1NW,580198,68218
B00GM0Q3D0,2510346,1787361
B00CDPDJQM,689343,85927
0393050696,154036,12341
B00EFPVE1U,1128447,56730
B06Y69THXT,1906691,176575
B07B37QS6R,36361,125
0765379325,264616,63451
B00QPIO73M,749134,82116
099662628X,3607359,1034556
B01N4GGPI2,1866252,141676
B00J40WBKE,468910,15633
1507632142,5637109,206197
1524758841,22404,181
1682612449,1340619,4005
B07DNSJK8Q,24268,4661
0957144237,2186041,119030
B00RSG9K5K,1433049,114134
0692971319,204040,32
1783281413,1425401,87693
B005F0F2OE,808937,76696
B005GSYZ70,391287,45796
B07B9KJX2N,212618,8903
B00M02TEJE,1661828,129804
0800720342,594483,16000
B0795CBKH3,310376,36774
1119240085,893882,56322
B07BJMJRYD,966621,53083
0008137145,2746297,146777
B001UE6OOQ,1548466,168268
1507535090,1685968,24734
B01NCTWPIO,726223,49352
0393061310,44298,3279
B076HLMYG9,307417,4492
1633571114,2221677,44369
B001HZYE2C,3941179,2999241
B01N3YXNWA,3318336,55580
B00KJB9B8W,1830268,110043
B00SLWQGSY,54139,159
1511622938,5068746,178039
1533689032,9738954,302759
B00PWY5HDE,1646203,223174
1536908886,3027315,286671
B07DYPQ57T,697860,169721
1616082453,2472090,64086
0133905411,456439,5618
B010EKK2LC,895597,93331
1548538523,4502065,134363
1449036783,3248423,3116957
1548010723,5624471,210463
1593935773,2039152,79571
B01631MODU,1382938,132635
0929591208,21885,4875
198141522X,7476046,2444214
0415577780,12405708,8661152
B07B7HRZ3R,64633,5086
3866689624,7745320,222561
1981162798,4698674,1052775
1538104059,175330,1072
0762449772,951223,58087
B01D1LNYWK,12821,69
1936746646,8437543,352270
B001UQ6G88,1559111,192600
1544766629,2709634,15296
B00BU6UWY2,1409393,112149
1910881171,5001449,175201
B07BC5BR4D,30045,785
B00GL9OBCM,548416,45407
B019OYETT0,45578,286
0373296193,4518907,156874
B01KESP9L2,371697,16482
1118490371,559767,32127
1433805596,21214,5776
198480183X,2889,47
1596387289,2773750,99992
B076C546K9,558730,5158
B00AAR21GO,1005013,110715
1850772738,2154274,80082
B00HEIU5GK,4095482,212006
1936746263,2313843,2221355
B01GSNODLO,215362,22396
B0759SJJ9Z,873492,767901
B01N234G54,1362321,90421
B0718YH4S3,660225,40219
9352065727,4112491,120566
B01MR35JNB,892264,50771
1493915347,2837682,157186
1594935637,486178,15635
0857055429,1057305,35612
1119002257,11596,178
B07C57VRH1,19200,107
B07DFFW2L8,14887,241
0802130208,9190,479
0451224957,10900,268
1909263435,206131,9224
B07CS97SV4,874152,38301
1935597493,5975569,475702
B01N6CH40O,413455,4328
B00IMJ9JB2,135340,7192
1683900715,944734,42533
B074CH1CDH,15436,9
B01KUIFCMM,2469378,1356373
0375719016,517732,12762
0997347600,628171,16880
B00EPFJG4M,1459499,104988
B071JN68NZ,51671,129
B0006DLAXC,7013162,243047
3468299230,13130754,12776448
B014K36D3U,962553,836120
B07CJR48FZ,85144,3148
B07BMVJ4F1,137962,13561
B073JZNXRH,3633215,155715
B07C9KCV23,513625,14815
1602600112,7238284,200906
1978074972,1501256,87500
1101987731,366340,5063
B009LK55ZA,1569136,94691
B07DQRNPHK,9973,4854
B079QWFXPN,414243,39379
1335016929,414253,9711
B00YOFL2PY,924378,106145
0135153360,5024293,4893161
973501954X,7231962,6687086
1988722349,1732013,128698
1494215888,6742611,4500480
0446698911,2621753,93920
0692458581,3337428,115324
B00QQ19DOG,581214,49840
B00KV62MK4,657860,46135
0679772669,694038,24609
1925493512,3538517,149615
B00MUEK5YU,460377,53074
1613737459,6466435,55382
B01KT7YTXW,21148,65
B018N86NT2,1434446,108117
B074JLZZLD,2304150,1204232
B00B20DWLG,801388,72162
0857759892,2375675,108303
026203431X,1525738,67709
160971217X,1041347,91183
B013FHC8CM,453598,21413
0486275590,308128,2373
0008256705,1416363,75423
1496702468,1536573,60752
0137081073,52085,3972
1508584842,11905201,7997941
B075SGS6JL,818579,8060
1601547382,5894066,157170
1291332162,736312,28713
0999597116,6679285,6600586
0060555262,1789657,69310
B01B1KP9YY,813084,75760
0692423508,8637793,8109512
B01ND4BFHL,605774,54820
0878771972,5032244,55031
B00XYMC5GI,75662,3475
0897813383,15561507,102524
B01LZYTHF2,561809,83160
0994096062,1404120,37980
B01G1S9Z96,576141,50231
B00HLSYCG2,4648965,3908140
B01DQ3S33S,348985,118
1571688307,3858037,137351
B012BT3GN0,1495687,110337
0979635772,974105,39141
B01NADSPHE,817195,86103
6067430185,3130274,108521
1502444259,1774494,103527
006267871X,80432,13175
0806157712,1307459,51186
0307352145,33778,2512
B01M5D5VRJ,435375,16255
0973946563,19163944,19064945
1491792337,2738855,133792
B073X65GWM,1257860,66675
B004BA52W6,671394,51222
1484220072,2424304,68569
1501125524,9203,2757
0815635419,5033371,90518
0132729946,340397,18498
0062662554,538084,25730
B01IECEJCA,804271,56454
B077GLFQYK,250508,1516
1926681193,2280532,167398
3875691628,13332504,9848124
B06ZYTZYSC,247107,144
B01CT5KIGE,489357,33538
B00OTYMHA4,2520594,2445409
B01MDV3HRS,3234319,130690
B0719CMTFF,1003500,116368
B005GQ7VIC,1029882,80188
1496405293,14312,958
B00RD4JJQ2,1218664,61891
1781327114,833378,20956
1611973171,5400153,227026
1419719203,410342,44326
B00PD8MABQ,1293847,106779
B071D2ZYT6,289540,587
B01MUPZ4WW,37733,151
B00DN6QS7C,2038226,1457828
1601548508,7884729,108719
0375802436,259328,15786
B00486UEHG,1036463,60565
B075DK4864,1976025,106278
0822319705,1856272,97619
0545630177,47030,4768
0981928447,12963706,9385048
B00929OYG6,1129948,71646
B076DJ1WMC,901025,20012
B00D50003Y,1163282,104059
1946203033,2570007,1894899
B0763CJDJG,1151191,105913
0451496663,343917,136
B00X6JKMK0,2517164,1792319
0671501003,1087746,66786
B07B6PPR66,499450,25708
B00O92P1N6,1307143,106359
B01N6V67IB,401458,29291
1451612575,574036,24193
0345511425,920208,61717
3319054724,824902,8631
156649169X,6880021,137058
1506094384,374045,14767
0241969131,5550258,5473181
B007ZB9XEG,386865,84
1988256852,3832634,149855
0976986205,9610285,102193
0446675105,594585,42864
