,max_rank,min_rank
B00J45749C,1175619,95027
0470085851,976932,53778
1890350044,2294855,86521
B01B27X4EI,563534,58902
1476754454,94891,5311
B073V118KR,1297524,44881
0999592327,2848800,2697319
B00NAI37OA,1388659,123290
0764207806,999469,75176
0764975854,1879730,97594
0316382833,1180533,46133
B01MDM9MCT,660061,24968
B0725W6GLG,475636,10551
B01LZDJ8LP,2205742,131764
B00C2TRAQO,1585714,120864
B073HFNVTN,485415,38607
B073QZG566,642865,6177
3442737621,3603778,141288
B075FJMC26,1568375,206616
1925313034,2331537,118422
B016S0RT4A,2240410,2171498
1910491160,1746500,67837
B00TVPBYHI,2478350,158721
1337288780,705531,17350
B06ZYR757H,1989114,165628
B00I1P8Y1S,4632928,3887768
B06XXS4CZ5,1733208,138465
1631492942,312212,1153
B00NERQR5I,459317,27817
1455560618,706212,33717
1469146436,9962813,6532422
0310350565,768499,510
0307119408,5677,378
B01M9CT8PC,436413,24809
161922710X,2811091,317693
1785301691,2023535,146792
B00DLC88C6,661539,51083
1501125672,816163,12684
B00IKVF00G,779392,49078
B01EVXI51W,516417,46274
1250166543,13665,215
1943272298,375142,341
B07636ZNWT,488108,2305
B01GF5GKTI,462380,11123
B00KSPBWPY,3100456,2237741
B0007E4YS8,13786800,12836477
B00LN8S32U,569307,51237
1681236974,2269072,88690
B00WNCHJF2,347221,27202
0957670532,901585,51103
3423213418,8589767,6350293
B071L31N2N,1626186,72579
1547048409,3324589,2300691
1908476877,426375,21286
0062498533,57339,7
1942645929,2090681,89387
0786818700,7814,48
B00DTTW7G4,1444828,989311
B06VYB2T7X,904230,37883
1591846994,346753,20071
9527065240,1372046,81280
1540818128,8079459,196913
B071ZMWMLP,3754237,3335627
3423761822,6438298,126835
022626517X,1006369,31365
162998678X,873745,47467
0851932975,5574638,121996
B0784YZZRP,1298480,29039
B073P7TN17,11350,29
1979194564,8449403,6634594
1910881961,2115972,70688
B07CYPVFTQ,366722,50609
140527994X,1050618,63025
0470037377,487869,22340
031626234X,222404,560
B00BK895SO,2211655,124717
1476782148,691379,32359
B001O8BR22,2346434,93335
1909490873,3912597,68756
B005C3WUVC,847446,64418
1542947405,4051885,4029060
0990772896,1190698,29405
0310330009,100408,6951
B076ZWG3P7,1747558,215587
1496177754,1684548,91501
B079VGY6HH,323357,21725
B00YM6RD6M,410683,15385
B019P19X9S,324696,76452
B00MT7UD04,561516,61892
1781855765,1296790,53455
B07BGCGDW7,116532,8493
B009Q85XTU,834552,25519
1627797645,252381,560
3548377289,7223234,3779499
1118942760,807117,25500
1633571009,2657983,56244
1633882810,2092776,27943
1439899177,4496610,197560
0140449205,815229,7640
0316441635,10944,913
B07CG2SV85,1724689,386146
B00AFPTSI0,37336,151
B07282PKZ5,2252051,1971316
B00KFP7YZY,338461,17687
0425134032,3215522,121555
B0761FSRNL,1841136,52366
1517339294,1337874,136720
B004TSD1YQ,904728,74379
0956648762,1536629,55303
B019GGB67Y,1528543,168573
1496710509,480903,17084
B06XPTMWJL,2317508,142584
0743247639,468261,41882
B0044DENHA,2634281,1875505
B079WSBXFK,412117,38518
1941410006,8232220,280409
1785763350,1502682,30839
0812982495,451275,13567
0544839641,34965,3551
B072L58JW6,523065,1636
B017QXZKVW,1022759,55913
B06XTFXZKM,1590825,116096
B00AF9BKHI,443978,4982
B007MXBPV6,2034292,1466715
1250076366,557113,42
B00T329FFM,547773,62209
B00NHXYUJO,1964207,113294
3734100585,10900556,9975726
B01I4031HG,1226611,89531
B010WC4HN6,1222171,159455
B01GSTC43C,746256,75266
0743276914,76478,3526
1595549382,940004,53630
B071Y84BQK,11174,14
0956796826,4066331,151765
B07DW7TZH8,115578,29519
B07CBD968M,48857,938
B00QU24P9Y,970970,84031
B00R861R4M,1024339,109127
0008218439,451522,7818
B00WRR0FTK,1337196,121713
B01K04OR7W,4002739,1975951
B008N5TCNA,1199054,108274
B00AQ2A86S,64249,731
B00YDHRWRK,646529,63593
B00T0TIYVO,495258,33443
B06XKRTSY9,3414685,187847
B0011ZRNMG,2393682,209328
1566560616,1689298,14816
0141198419,481473,17117
B01MQSFB3U,1694173,101426
B076DL895C,213374,5546
1612195423,671814,31085
0399590900,651146,26403
B017M3IJM8,558005,22680
B06X1DXBFT,11220,22
1976950767,501727,21263
0615462219,179222,6798
0252079345,1604659,65672
B00IPPBFSI,2503877,2468563
B01MRAG2F3,1641190,75671
1250047099,60135,2275
B00BZPII3K,984907,88132
B0778V1GZ1,671334,35152
1783985801,3224348,131100
1976708621,3002373,69179
965301563X,726759,26673
0765316994,592012,23755
0399564454,1904606,6
B01A2HICLY,754528,22590
0738750565,933370,34732
1484224264,3570900,71446
B01LZ37S1U,1059691,64181
B0050P4ZEC,606536,50290
0692752226,4453771,117703
B009429QS2,450221,36887
B06XVBGCKD,161659,1645
1433644177,447818,20288
1974692329,5777239,178815
B078ZVCZQY,406279,10613
1468314769,35108,981
0440217563,14558,330
B01HC0NQVK,3008036,2737093
B07C93GWDM,244380,5882
0545123275,1039789,115979
B07CSM3TMH,1597831,137921
0124104924,2121655,107384
1598572709,827314,43306
0765348276,65058,4364
B071XTPWGS,695460,47988
022614593X,726594,6698
B078NG8JW2,249601,5279
B07CGMZ48J,944949,50788
3548742262,7557769,250973
0393348857,905719,29918
B01G9J0H4Y,1248430,52647
B01N9T526S,1916333,51884
B00SC4TPRA,1134554,110801
1476794979,358853,1728
B00D5UIYQE,456116,28566
B01BIGLFHQ,802558,22080
1933272066,2481322,90207
153560820X,4921909,122679
1591846382,1449932,63552
1617981842,2708199,252719
1591844096,31704,1543
B019MMUAAQ,56798,256
B00580JN28,878796,121291
B0071XO8RA,3658,14
B00PQROPBC,37455,4165
1632869721,825762,30211
0399176012,239215,11055
B001ANYDAO,11372,2182
1849394180,12512818,107708
0199651353,3260802,137998
0425251675,967230,41028
0061852058,596732,35416
B003WUYPQ0,430725,452
B071GJCBG6,2298570,46239
3941965948,7536211,7071513
1119283108,799152,47359
886208515X,1164977,14446
0544580141,16565,69
1607742454,63716,2595
B00T0Y74IS,690428,51432
1980334560,1985334,99251
0226616746,1212137,61313
1421426919,6419033,166584
0805088091,105816,245
B01LWVNCTS,1001233,75786
1940611482,524348,12374
1138080683,907774,45882
1573245054,33695,9872
1610397185,927747,113696
0809278952,1785925,73435
B00L8BN4IA,628560,50586
B01GLM3SDG,2083176,158832
B01IADAS82,1266445,107808
B07BF7N7XJ,258647,8544
0425270718,15759,9994
0240812174,210884,6818
B01CJ2PJ6Q,3607,141
B01MRCM0CG,150369,1021
B06Y1JTHJ8,1923040,25904
1927409233,5345324,198032
B003Y5HD9E,2013084,198784
1939023262,4154431,141081
B01LYRXJ0I,31141,21
B00KH0GA9S,1607364,206799
1546514252,8666215,186716
B07DHYNS45,750950,100647
0813136628,2182118,62471
0884195759,845644,27859
0062117262,1151572,192543
B06WP9HV2W,2273382,125499
022613105X,902020,19268
B07BRBPL3F,284040,28592
B079NN69XZ,828484,40332
0446605239,776089,46678
152671289X,5007608,129002
B01HS22U1O,2225712,119067
B077XJVVWK,538356,33407
0393061051,522308,19424
0061240419,2570927,134342
1501145142,2844487,43194
B01FEQ2CVY,1430396,100777
1681973960,3278910,167379
B079ZXDTFC,645535,5082
B077MLFRZ9,1477355,105282
B00815T1ME,2994847,2148884
1400067545,487740,11346
B01M8L57XO,800247,63380
B00LB7NE8Q,201415,13656
B00A41HN7S,3278083,3214269
1138740810,1884740,40939
1771279885,4477392,112781
1788034651,2538179,171748
022641647X,2123896,82577
0856409340,3175660,107856
1440577099,457590,27188
9176374394,9716667,2090172
0692783652,328821,8961
1938808355,2841790,139471
1911586629,8137379,136159
1503937496,4092954,160970
B00SLKIZQM,1305360,94939
4909069062,3721585,47767
B00I15YGBU,835637,78443
055771107X,6091698,189922
B00JRAW99E,3890122,2940463
